[13:37:00:000] [LOG] (Deobfuscator) Deobfuscating client...
[13:37:00:011] [LOG] object \x1e\x0c\x10 > utils
[13:37:00:011] [LOG] object \x0f\x1a > extensions
[13:37:00:011] [LOG] function \x0a\x1d > MovieClipExtensions
[13:37:00:012] [LOG] function \x0c\x0d > Logger
[13:37:00:012] [LOG] function \x1e\x13\x11 > SharedObjectFix
[13:37:00:012] [LOG] function \x1e\x14\x0d > Sequencer
[13:37:00:012] [LOG] function \x0b\x01 > MouseEvents
[13:37:00:012] [LOG] function \x12\x12 > CustomDate
[13:37:00:012] [LOG] function \x13\x0c > Compressor
[13:37:00:012] [LOG] function \x1e\x18\x0e > XMLLoader
[13:37:00:013] [LOG] function \x0f\x1d > PatternDecoder
[13:37:00:013] [LOG] function \x1e\x0d\x1d > ExtendedObject
[13:37:00:013] [LOG] function \x1e\x0d\x0b > SWFLoader
[13:37:00:013] [LOG] function \x10\x01 > Timer
[13:37:00:013] [LOG] function \x13\x03 > ExtendedArray
[13:37:00:013] [LOG] function \x0b\x0e > ConsoleUtils
[13:37:00:013] [LOG] function \x12\x10 > Md5
[13:37:00:013] [LOG] function \x0f\x1c > CyclicTimer
[13:37:00:014] [LOG] function \x12\x15 > ExtendedString
[13:37:00:014] [LOG] function \x12\x1d > Crypt
[13:37:00:014] [LOG] function \x0f\x1b > Countries
[13:37:00:014] [LOG] function \x1e\x17\x06 > rss
[13:37:00:015] [LOG] function \x1e\x18\x03 > Point
[13:37:00:016] [LOG] object \x1e\x0d\x07 > tools
[13:37:00:016] [LOG] function \x0c\x0d > Logger
[13:37:00:016] [LOG] object \x0d\x11 > interfaces
[13:37:00:016] [LOG] function \x0d\x1b > IDisposable
[13:37:00:016] [LOG] function \x0e\x02 > IComparable
[13:37:00:016] [LOG] function \x1e\x0d\x12 > TempSafesBis
[13:37:00:017] [LOG] function \x1e\x0d\x13 > TempSafes
[13:37:00:017] [LOG] function \x0d\x05 > Kernel
[13:37:00:017] [LOG] function \x13\x02 > Constants
[13:37:00:017] [LOG] function \x1d\x06 > AudioElement
[13:37:00:017] [LOG] function \x1d\x05 > AudioEvents
[13:37:00:018] [LOG] function \x1e\x16\x06 > SaveTheWorld
[13:37:00:018] [LOG] function \x10\x09 > Electron
[13:37:00:018] [LOG] function \x11\x16 > DofusCore
[13:37:00:018] [LOG] object \x0c\x09 > managers
[13:37:00:018] [LOG] function \x1e\x0c\x13 > UIdManager
[13:37:00:022] [LOG] function \x1e\x14\x08 > ServersManager
[13:37:00:023] [LOG] function \x12\x0b > DataProcessor
[13:37:00:023] [LOG] function \x1e\x10 > Aks
[13:37:00:024] [LOG] object \x1e\x0c\x10 > utils
[13:37:00:024] [LOG] function \x0c\x1d > LangFileLoader
[13:37:00:024] [LOG] object \x13\x04 > consoleParsers
[13:37:00:024] [LOG] function \x13\x1b > ChatConsoleParser
[13:37:00:025] [LOG] function \x12\x06 > DebugConsoleParser
[13:37:00:025] [LOG] function \x15 > AbstractConsoleParser
[13:37:00:025] [LOG] function \x11\x17 > DofusConfiguration
[13:37:00:025] [LOG] function \x11\x13 > DofusTranslator
[13:37:00:025] [LOG] object \x09\x1d > nameChecker
[13:37:00:025] [LOG] function \x0a\x01 > NameChecker
[13:37:00:025] [LOG] function \x13\x1a > CheckResults
[13:37:00:026] [LOG] object \x1e\x16\x15 > rules
[13:37:00:026] [LOG] function \x09\x1c > NameCheckerGuildNameRules
[13:37:00:026] [LOG] function \x0d\x17 > INameCheckerRules
[13:37:00:026] [LOG] function \x1d\x1c > Api
[13:37:00:027] [LOG] object \x12\x16 > criterions
[13:37:00:027] [LOG] object \x1c\x14 > basicCriterion
[13:37:00:027] [LOG] function \x1c\x13 > BasicCriterionEpisod
[13:37:00:027] [LOG] object \x1e\x0e\x0d > subareaCriterion
[13:37:00:027] [LOG] function \x1e\x0e\x0c > SubareaCriterionAlignment
[13:37:00:027] [LOG] function \x0e\x01 > ICriterion
[13:37:00:028] [LOG] function \x12\x17 > CriterionManager
[13:37:00:028] [LOG] function \x1d\x1b > ApiElement
[13:37:00:028] [LOG] object \x0e\x15 > graphics
[13:37:00:028] [LOG] function \x12\x19 > CraftResultOverHead
[13:37:00:028] [LOG] function \x1e\x0d\x0e > TextWithTitleOverHead
[13:37:00:029] [LOG] function \x0e\x0d > GuildOverHead
[13:37:00:029] [LOG] function \x0f\x0d > FightOptionsOverHead
[13:37:00:029] [LOG] function \x10\x0a > EffectsOverHead
[13:37:00:029] [LOG] function \x1e\x11\x17 > SmileyOverHead
[13:37:00:029] [LOG] function \x1e\x0d\x0f > TextOverHead
[13:37:00:029] [LOG] function \x11\x18 > DofusBattlefield
[13:37:00:030] [LOG] function \x1e\x1a\x1d > OfflineOverHead
[13:37:00:030] [LOG] function \x14 > AbstractTextOverHead
[13:37:00:030] [LOG] function \x0e\x1a > Gapi
[13:37:00:030] [LOG] function \x11\x14 > DofusStylePackage
[13:37:00:030] [LOG] object \x0e\x11 > guildhousesviewer
[13:37:00:032] [LOG] object \x0e\x0f > guildmembersviewer
[13:37:00:038] [LOG] object \x1e\x0d\x15 > taxcollectorsviewer
[13:37:00:039] [LOG] function \x1e\x0d\x14 > TaxCollectorsViewerPlayer
[13:37:00:039] [LOG] object \x0d\x09 > itemviewer
[13:37:00:039] [LOG] object \x12\x18 > craftviewer
[13:37:00:040] [LOG] object \x13\x09 > conqueststatsviewer
[13:37:00:042] [LOG] function \x0d\x0f > InventoryViewerWithAllFilter
[13:37:00:042] [LOG] object \x1e\x0d\x0c > timeline
[13:37:00:042] [LOG] object \x0d\x07 > jobviewer
[13:37:00:043] [LOG] object \x0e\x12 > guildboostsviewer
[13:37:00:043] [LOG] object \x1e\x17\x0d > questionviewer
[13:37:00:044] [LOG] object \x1e\x10\x17 > spellfullinfosvieweritem
[13:37:00:044] [LOG] object \x0e\x0e > guildmountparkviewer
[13:37:00:045] [LOG] object \x0c\x10 > listinventoryviewer
[13:37:00:047] [LOG] object \x1e\x0c > alignmentviewer
[13:37:00:053] [LOG] object \x1e\x0e\x1c > statsviewer
[13:37:00:053] [LOG] object \x17\x0c > bookpageindex
[13:37:00:054] [LOG] object \x0d\x10 > inventoryviewer
[13:37:00:054] [LOG] function \x0d\x19 > IInventoryFilter
[13:37:00:054] [LOG] object \x1d\x11 > artworkrotation
[13:37:00:056] [LOG] object \x13\x05 > conquestzonesviewer
[13:37:00:057] [LOG] object \x12\x1b > crafterlist
[13:37:00:057] [LOG] function \x12\x1a > CrafterListItem
[13:37:00:058] [LOG] function \x0e\x18 > GiftsSprite
[13:37:00:058] [LOG] function \x1e\x13\x0c > ShortcutsItem
[13:37:00:059] [LOG] object \x13\x19 > chooseserver
[13:37:00:062] [LOG] object \x0e\x1d > gameresult
[13:37:00:067] [LOG] function \x0e\x1b > GameResultTeamPVP
[13:37:00:067] [LOG] function \x0e\x1c > GameResultPlayer
[13:37:00:068] [LOG] function \x0c\x0c > LoginNewsItem
[13:37:00:069] [LOG] object \x1e\x0e\x0b > subway
[13:37:00:069] [LOG] function \x1e\x0e\x0a > SubwayItem
[13:37:00:069] [LOG] object \x0d\x03 > knownledgebase
[13:37:00:069] [LOG] function \x0d\x02 > KnownledgeBaseItem
[13:37:00:070] [LOG] object \x1e\x18\x12 > party
[13:37:00:070] [LOG] function \x1e\x18\x11 > PartyItem
[13:37:00:071] [LOG] object \x0f\x0c > fightsinfos
[13:37:00:071] [LOG] function \x0f\x0a > FightsInfosPlayerItem
[13:37:00:071] [LOG] function \x0f\x0b > FightsInfosFightItem
[13:37:00:074] [LOG] object \x1e\x0c\x04 > waypoints
[13:37:00:074] [LOG] function \x1e\x0c\x03 > WaypointsItem
[13:37:00:074] [LOG] object \x1e\x10\x19 > spellforget
[13:37:00:074] [LOG] function \x1e\x10\x18 > SpellForgetItem
[13:37:00:075] [LOG] object \x1e\x18\x08 > playerinfos
[13:37:00:075] [LOG] function \x1e\x18\x07 > PlayerInfosEffectsItem
[13:37:00:082] [LOG] function \x19\x0c > BigStorePriceItem
[13:37:00:084] [LOG] object \x0f\x04 > friends
[13:37:00:085] [LOG] function \x0f\x02 > FriendsDisconnectedItem
[13:37:00:085] [LOG] function \x0f\x03 > FriendsConnectedItem
[13:37:00:085] [LOG] function \x1e\x17\x0b > QuestsObjectiveItem
[13:37:00:085] [LOG] function \x1e\x17\x08 > QuestsStepRewardItem
[13:37:00:085] [LOG] function \x1e\x17\x09 > QuestsStepItem
[13:37:00:086] [LOG] function \x1e\x17\x0a > QuestsQuestItem
[13:37:00:086] [LOG] object \x13\x1c > charactersmigration
[13:37:00:086] [LOG] object \x0b\x02 > mountstorage
[13:37:00:087] [LOG] function \x11\x19 > DofusAdvancedComponent
[13:37:00:087] [LOG] function \x1e\x17\x0c > QuestObjective
[13:37:00:087] [LOG] function \x1e\x0c\x05 > Waypoint
[13:37:00:087] [LOG] function \x0c\x0e > LocalPlayer
[13:37:00:088] [LOG] function \x1e\x0d\x01 > TutorialIf
[13:37:00:088] [LOG] function \x0d\x0d > Item
[13:37:00:088] [LOG] function \x1e\x17\x07 > QuestStep
[13:37:00:088] [LOG] function \x10\x0d > Effect
[13:37:00:088] [LOG] function \x13\x07 > ConquestWorldData
[13:37:00:088] [LOG] function \x1e\x17\x1b > PrismSprite
[13:37:00:089] [LOG] function \x0b\x04 > MountableCreature
[13:37:00:089] [LOG] function \x0b\x05 > MonsterGroup
[13:37:00:089] [LOG] function \x1e\x0d\x0a > Title
[13:37:00:089] [LOG] function \x0f\x13 > Feat
[13:37:00:089] [LOG] function \x13\x08 > ConquestVillageData
[13:37:00:089] [LOG] function \x1e\x1b\x01 > OfflineCharacter
[13:37:00:090] [LOG] function \x0a\x0e > Mutant
[13:37:00:090] [LOG] function \x0f\x0f > FightChallengeData
[13:37:00:090] [LOG] function \x1e\x17\x1c > PrismPoint
[13:37:00:090] [LOG] function \x1e\x14\x0b > Server
[13:37:00:090] [LOG] function \x13\x1d > Character
[13:37:00:091] [LOG] function \x03\x11 > NonPlayableCharacter
[13:37:00:091] [LOG] function \x0e\x10 > GuildInfos
[13:37:00:091] [LOG] function \x0b\x03 > MountPark
[13:37:00:091] [LOG] function \x0e\x05 > House
[13:37:00:091] [LOG] function \x1e\x10\x1a > Spell
[13:37:00:092] [LOG] function \x0f\x12 > FeatEffect
[13:37:00:092] [LOG] function \x0c\x19 > LaunchedSpell
[13:37:00:092] [LOG] function \x1e\x14\x09 > ServerProblemEvent
[13:37:00:097] [LOG] function \x1e\x0c\x1c > TutorialWaitingCase
[13:37:00:097] [LOG] function \x13\x17 > CloseCombat
[13:37:00:098] [LOG] function \x11\x15 > DofusMap
[13:37:00:098] [LOG] function \x1e\x18\x13 > ParkMount
[13:37:00:098] [LOG] function \x1e\x0d\x16 > TaxCollector
[13:37:00:098] [LOG] function \x11 > Accessory
[13:37:00:098] [LOG] function \x1e\x0e\x0e > Subarea
[13:37:00:099] [LOG] function \x12\x1c > Crafter
[13:37:00:099] [LOG] function \x19\x0d > BigStore
[13:37:00:099] [LOG] function \x0e\x0c > GuildRights
[13:37:00:099] [LOG] function \x0e\x06 > Hint
[13:37:00:099] [LOG] function \x13\x0a > ConquestBonusData
[13:37:00:099] [LOG] function \x0d\x08 > JobOptions
[13:37:00:100] [LOG] function \x1e\x0d\x03 > TutorialAction
[13:37:00:100] [LOG] function \x1e\x0c\x1d > TutorialWaiting
[13:37:00:100] [LOG] function \x1e\x0d\x02 > TutorialBloc
[13:37:00:100] [LOG] function \x12\x0c > Datacenter
[13:37:00:100] [LOG] function \x1e\x19\x17 > Order
[13:37:00:100] [LOG] function \x1e\x0d > Alignment
[13:37:00:100] [LOG] function \x1e\x17\x0f > QuestBook
[13:37:00:100] [LOG] function \x1e\x14\x14 > SecureCraftExchange
[13:37:00:101] [LOG] function \x1e\x17\x0e > Question
[13:37:00:101] [LOG] function \x1e\x14\x0a > ServerProblem
[13:37:00:101] [LOG] function \x13\x06 > ConquestZoneData
[13:37:00:101] [LOG] function \x1e\x12\x19 > Skill
[13:37:00:101] [LOG] function \x1e\x17\x10 > Quest
[13:37:00:102] [LOG] function \x0b\x06 > Monster
[13:37:00:102] [LOG] function \x1e\x18\x09 > PlayableCharacter
[13:37:00:102] [LOG] function \x0f\x0e > FightInfos
[13:37:00:102] [LOG] (Deobfuscator) Client successfully deobfuscated.
